ATTITUDE {time_boot_ms : 828009, roll : -0.08864783495664597, pitch : -0.023331180214881897, yaw : -2.2102150917053223, rollspeed : -0.0008084338624030352, pitchspeed : -0.00021348035079427063, yawspeed : 0.0004030742566101253}
ATTITUDE {time_boot_ms : 828059, roll : -0.0886259451508522, pitch : -0.023325897753238678, yaw : -2.2101900577545166, rollspeed : 0.0005743282381445169, pitchspeed : 0.00020216734264977276, yawspeed : 0.0003552676644176245}
ATTITUDE {time_boot_ms : 828112, roll : -0.08865096420049667, pitch : -0.023345623165369034, yaw : -2.2101993560791016, rollspeed : 5.646958015859127e-05, pitchspeed : -0.0010625385912135243, yawspeed : 8.42496519908309e-05}
ATTITUDE {time_boot_ms : 828159, roll : -0.08862215280532837, pitch : -0.023336686193943024, yaw : -2.2102088928222656, rollspeed : 0.000676593859679997, pitchspeed : 0.0006746294675394893, yawspeed : 3.7587713450193405e-05}
ATTITUDE {time_boot_ms : 828209, roll : -0.08865467458963394, pitch : -0.02330036088824272, yaw : -2.210200786590576, rollspeed : -0.0007528206333518028, pitchspeed : 0.00011360930511727929, yawspeed : 0.00032621005084365606}
ATTITUDE {time_boot_ms : 828259, roll : -0.08863422274589539, pitch : -0.023277107626199722, yaw : -2.2102160453796387, rollspeed : 0.0005398377543315291, pitchspeed : -0.00018385978182777762, yawspeed : -0.00015070900553837419}
ATTITUDE {time_boot_ms : 828309, roll : -0.08865740150213242, pitch : -0.023255638778209686, yaw : -2.2102041244506836, rollspeed : -0.0006116160657256842, pitchspeed : 0.0002611213130876422, yawspeed : 0.0009985388023778796}
ATTITUDE {time_boot_ms : 828359, roll : -0.08866776525974274, pitch : -0.023269332945346832, yaw : -2.2102010250091553, rollspeed : -0.00011367769911885262, pitchspeed : -0.000543645117431879, yawspeed : 0.00028626754647120833}
ATTITUDE {time_boot_ms : 828409, roll : -0.08864905685186386, pitch : -0.02328517660498619, yaw : -2.2101998329162598, rollspeed : 0.00038857595063745975, pitchspeed : -0.00022665501455776393, yawspeed : 9.702041279524565e-05}
ATTITUDE {time_boot_ms : 828459, roll : -0.08871782571077347, pitch : -0.02326725423336029, yaw : -2.2101945877075195, rollspeed : -0.0019176946952939034, pitchspeed : 0.00015439149865414947, yawspeed : -9.37393051572144e-05}
ATTITUDE {time_boot_ms : 828509, roll : -0.08869697153568268, pitch : -0.023278117179870605, yaw : -2.2101998329162598, rollspeed : 0.0004900473868474364, pitchspeed : -1.6812555259093642e-05, yawspeed : -9.890401270240545e-05}
ATTITUDE {time_boot_ms : 828559, roll : -0.08869259804487228, pitch : -0.02328147366642952, yaw : -2.2102091312408447, rollspeed : -0.00023404485546052456, pitchspeed : 0.0002635662676766515, yawspeed : -0.00028272223426029086}
ATTITUDE {time_boot_ms : 828610, roll : -0.08871454000473022, pitch : -0.023272551596164703, yaw : -2.210221529006958, rollspeed : -0.0004739768337458372, pitchspeed : 0.000488955294713378, yawspeed : 0.0003872147062793374}
ATTITUDE {time_boot_ms : 828660, roll : -0.08874448388814926, pitch : -0.023295696824789047, yaw : -2.2102346420288086, rollspeed : -0.00048565585166215897, pitchspeed : -0.0004627250600606203, yawspeed : 0.00010733824456110597}
ATTITUDE {time_boot_ms : 828709, roll : -0.08874990046024323, pitch : -0.0233008973300457, yaw : -2.210251569747925, rollspeed : -0.0005722949281334877, pitchspeed : -0.0005050166510045528, yawspeed : -0.0007654016371816397}
ATTITUDE {time_boot_ms : 828762, roll : -0.08874586969614029, pitch : -0.023343190550804138, yaw : -2.210224151611328, rollspeed : 0.0004194874782115221, pitchspeed : -0.0009909438667818904, yawspeed : 0.0004746138583868742}
ATTITUDE {time_boot_ms : 828809, roll : -0.08874277025461197, pitch : -0.023375414311885834, yaw : -2.2102243900299072, rollspeed : -6.057322025299072e-05, pitchspeed : -0.0009338532108813524, yawspeed : 0.00031190586742013693}
ATTITUDE {time_boot_ms : 828859, roll : -0.08876662701368332, pitch : -0.023375101387500763, yaw : -2.2102208137512207, rollspeed : -6.790226325392723e-05, pitchspeed : 6.289439625106752e-05, yawspeed : 0.00017034605843946338}
ATTITUDE {time_boot_ms : 828909, roll : -0.0887548178434372, pitch : -0.02336302027106285, yaw : -2.2102365493774414, rollspeed : 0.0006407349137589335, pitchspeed : 0.00046457949792966247, yawspeed : -0.00012794759823009372}
ATTITUDE {time_boot_ms : 828959, roll : -0.08875250816345215, pitch : -0.02335333451628685, yaw : -2.210217237472534, rollspeed : -0.00017322879284620285, pitchspeed : 0.0002702576166484505, yawspeed : 0.00025775382528081536}
ATTITUDE {time_boot_ms : 829009, roll : -0.08874017000198364, pitch : -0.023327961564064026, yaw : -2.2102229595184326, rollspeed : -0.0008614242542535067, pitchspeed : 0.0009057836723513901, yawspeed : -4.560290835797787e-05}
ATTITUDE {time_boot_ms : 829059, roll : -0.08871916681528091, pitch : -0.02328767627477646, yaw : -2.210232734680176, rollspeed : 0.00036635342985391617, pitchspeed : 0.0009090738603845239, yawspeed : 0.0002621958847157657}
ATTITUDE {time_boot_ms : 829112, roll : -0.08875679224729538, pitch : -0.023280423134565353, yaw : -2.210207939147949, rollspeed : -0.0006389457266777754, pitchspeed : -0.00018740122322924435, yawspeed : 0.001485738204792142}
ATTITUDE {time_boot_ms : 829159, roll : -0.0887540653347969, pitch : -0.023271165788173676, yaw : -2.2102246284484863, rollspeed : -0.00032962323166429996, pitchspeed : 0.00020421281806193292, yawspeed : -0.00034359877463430166}
ATTITUDE {time_boot_ms : 829209, roll : -0.08878836780786514, pitch : -0.023279819637537003, yaw : -2.210209369659424, rollspeed : -0.0007279128767549992, pitchspeed : -0.00020784712978638709, yawspeed : 0.000481906725326553}
ATTITUDE {time_boot_ms : 829259, roll : -0.08878205716609955, pitch : -0.02327393740415573, yaw : -2.2102091312408447, rollspeed : -0.000235765241086483, pitchspeed : 5.116348620504141e-05, yawspeed : 0.0005515535594895482}
ATTITUDE {time_boot_ms : 829309, roll : -0.08876492828130722, pitch : -0.023263078182935715, yaw : -2.2102108001708984, rollspeed : 0.0001900545321404934, pitchspeed : 0.0007180944667197764, yawspeed : -0.00030833244090899825}
ATTITUDE {time_boot_ms : 829359, roll : -0.08876315504312515, pitch : -0.02324310690164566, yaw : -2.210205316543579, rollspeed : 0.00029108382295817137, pitchspeed : 0.0005283190403133631, yawspeed : 0.0007567506399936974}
ATTITUDE {time_boot_ms : 829409, roll : -0.0887468159198761, pitch : -0.023241601884365082, yaw : -2.2101945877075195, rollspeed : 0.00033409043680876493, pitchspeed : -0.0005200453451834619, yawspeed : -0.00031623162794858217}
ATTITUDE {time_boot_ms : 829459, roll : -0.0887083113193512, pitch : -0.023271039128303528, yaw : -2.2102034091949463, rollspeed : 0.00037806236650794744, pitchspeed : -0.0014988248003646731, yawspeed : 0.00023636978585273027}
ATTITUDE {time_boot_ms : 829509, roll : -0.08870241791009903, pitch : -0.023345910012722015, yaw : -2.2101998329162598, rollspeed : 0.0004486088873818517, pitchspeed : -0.0013215887593105435, yawspeed : -0.00048540032003074884}
ATTITUDE {time_boot_ms : 829559, roll : -0.08869479596614838, pitch : -0.02337171509861946, yaw : -2.2102103233337402, rollspeed : 0.0011644377373158932, pitchspeed : 6.049044895917177e-05, yawspeed : -6.946426583454013e-05}
ATTITUDE {time_boot_ms : 829609, roll : -0.0886702761054039, pitch : -0.023262713104486465, yaw : -2.210205554962158, rollspeed : -0.00023083644919097424, pitchspeed : 0.003016095142811537, yawspeed : 0.00025903317146003246}
ATTITUDE {time_boot_ms : 829659, roll : -0.08869209885597229, pitch : -0.023225557059049606, yaw : -2.2101972103118896, rollspeed : -0.0006715224590152502, pitchspeed : 0.00044485757825896144, yawspeed : 0.0004353526746854186}
ATTITUDE {time_boot_ms : 829709, roll : -0.08866163343191147, pitch : -0.023200996220111847, yaw : -2.2101998329162598, rollspeed : -0.00011673290282487869, pitchspeed : 0.0008536588284187019, yawspeed : 0.000152915483340621}
ATTITUDE {time_boot_ms : 829759, roll : -0.08861269801855087, pitch : -0.02324051409959793, yaw : -2.2101922035217285, rollspeed : 0.00091880455147475, pitchspeed : -0.00043089280370622873, yawspeed : -0.0007441980997100472}
ATTITUDE {time_boot_ms : 829809, roll : -0.08863282203674316, pitch : -0.023193299770355225, yaw : -2.210195779800415, rollspeed : -0.0005786584224551916, pitchspeed : 0.0011520198313519359, yawspeed : 6.88910367898643e-05}
ATTITUDE {time_boot_ms : 829860, roll : -0.08863063901662827, pitch : -0.02318081632256508, yaw : -2.2101948261260986, rollspeed : -0.00020094122737646103, pitchspeed : 0.0003028808278031647, yawspeed : 0.00011082860874012113}
ATTITUDE {time_boot_ms : 829910, roll : -0.08862191438674927, pitch : -0.02316001057624817, yaw : -2.210207939147949, rollspeed : 0.00023774662986397743, pitchspeed : 0.0006457126000896096, yawspeed : -0.0006836893153376877}
ATTITUDE {time_boot_ms : 829959, roll : -0.08860716968774796, pitch : -0.023127231746912003, yaw : -2.2101993560791016, rollspeed : 0.00033993145916610956, pitchspeed : 0.0004077869816683233, yawspeed : 0.0003241468803025782}
ATTITUDE {time_boot_ms : 830009, roll : -0.08860468864440918, pitch : -0.023129452019929886, yaw : -2.2101995944976807, rollspeed : 0.0005747904069721699, pitchspeed : -0.0008300714544020593, yawspeed : -0.0004973980248905718}
ATTITUDE {time_boot_ms : 830059, roll : -0.08858651667833328, pitch : -0.023198876529932022, yaw : -2.210212230682373, rollspeed : -0.000356932170689106, pitchspeed : -0.0020010992884635925, yawspeed : -0.0007861953345127404}
ATTITUDE {time_boot_ms : 830109, roll : -0.08856359124183655, pitch : -0.023238983005285263, yaw : -2.2102386951446533, rollspeed : 0.0005893483757972717, pitchspeed : -0.0004924669628962874, yawspeed : -0.0007657901151105762}
ATTITUDE {time_boot_ms : 830159, roll : -0.0885554775595665, pitch : -0.02316083014011383, yaw : -2.210228204727173, rollspeed : 0.00014562765136361122, pitchspeed : 0.002040300751104951, yawspeed : 0.0004713997186627239}
ATTITUDE {time_boot_ms : 830210, roll : -0.08858457952737808, pitch : -0.02312440052628517, yaw : -2.210230827331543, rollspeed : -0.0006596772000193596, pitchspeed : 0.00030438523390330374, yawspeed : -0.00014159653801470995}
ATTITUDE {time_boot_ms : 830259, roll : -0.08858125656843185, pitch : -0.02315676584839821, yaw : -2.2102296352386475, rollspeed : -0.00020700530149042606, pitchspeed : -0.0012555398279801011, yawspeed : -0.0003371110651642084}
ATTITUDE {time_boot_ms : 830309, roll : -0.08854936063289642, pitch : -0.023179128766059875, yaw : -2.210228443145752, rollspeed : 0.0007482368964701891, pitchspeed : 8.260540198534727e-07, yawspeed : -0.0004835814470425248}
ATTITUDE {time_boot_ms : 830359, roll : -0.08856309950351715, pitch : -0.023204587399959564, yaw : -2.2102370262145996, rollspeed : 0.00019973330199718475, pitchspeed : -0.0003691081947181374, yawspeed : -7.232249481603503e-05}
ATTITUDE {time_boot_ms : 830409, roll : -0.08855871856212616, pitch : -0.023225586861371994, yaw : -2.2102456092834473, rollspeed : -0.000660712830722332, pitchspeed : -0.00046451331581920385, yawspeed : -0.0003852866357192397}
ATTITUDE {time_boot_ms : 830459, roll : -0.08856067806482315, pitch : -0.023197893053293228, yaw : -2.2102227210998535, rollspeed : -0.0003734596539288759, pitchspeed : 0.0011426120763644576, yawspeed : 0.0012075159465894103}
ATTITUDE {time_boot_ms : 830509, roll : -0.08855576068162918, pitch : -0.023181643337011337, yaw : -2.210212230682373, rollspeed : -0.00031787133775651455, pitchspeed : -8.934439392760396e-05, yawspeed : 0.0007363815675489604}
ATTITUDE {time_boot_ms : 830559, roll : -0.0885869711637497, pitch : -0.023257236927747726, yaw : -2.210223436355591, rollspeed : -0.0009890459477901459, pitchspeed : -0.0020140390843153, yawspeed : -0.00029913365142419934}
